"项目ID","项目名称","检验项目组套","样本类型","标本容器","推荐管色","添加剂","采样量","采集管图片URL","容器图片URL","是否空腹","空腹时长(h)","患者准备摘要","保存温度","转运时限","特殊处理摘要","拒收标准摘要","常见问题","采集要求原文","来源","需人工确认","备注"
"LAB000079","钠","电解质","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000080","钾","电解质","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000081","氯","电解质","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000082","钙","电解质","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000083","镁","电解质","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000084","磷","电解质","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000085","阴离子间隙","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000086","淀粉酶","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000087","脂肪酶","","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000088","尿素氮(BUN)","肾功能","血清","","红","","3-5mL","","","否","","","2-8℃","","","溶血/凝血/量不足","","","none","否",""
"LAB000089","尿胆原","","尿液","无菌尿杯","","","","","","否","","","室温","","","污染/容器错误/量不足","","","none","否",""
